Unnamed: 0,ListingKeyNumeric *,OriginatingSystemKey,ListingID,Geography,MLSAreaMajor,SubdivisionName,ElementarySchool,MiddleOrJuniorSchool,HighSchool,ClosePrice,LotSizeAcres,BuildingAreaTotal,YearBuilt,BasementYN,BathroomsTotalInteger,BathroomsFull,BathroomsHalf,WaterfrontYN,WaterfrontFeatures,PoolPrivateYN,GarageYN,AttachedGarageYN,CarportYN,GarageSpaces,FireplaceYN,FireplacesTotal,LivingArea,Stories,BedroomsTotal,CloseDate,Close_Year,Close_Month,ElemRating,MidRating
1,279644545,8900663,110012,County South,(10) East Tuscaloosa County,Woodridge Glenn,Brookwood,Brookwood,Brookwood,125000,0,1252,2003,0,2,2,0,0,,0,1,1,0,0,0,0,1252,1,3,2/28/2017,2017,2,4,4
2,279644582,8901933,110051,Northport City,(08) North Tuscaloosa County,Huntington Place,Huntington,Echols,Tuscaloosa County,247400,0.57,2133,1999,0,3,2.5,0.5,0,,0,1,1,0,2,1,0,2133,1,3,3/3/2017,2017,3,6,5
5,279665296,1031665,107044,County South,(11) South Tuscaloosa County,Southland Trail,Big Sandy,Duncanville,Hillcrest,90000,0.66,1578,2002,0,2,2,0,0,,0,0,0,0,0,1,1,1578,1,3,6/29/2016,2016,6,6,5
6,279665362,1032230,107619,East Tuscaloosa,(10) East Tuscaloosa County,Camden Lake,Cottondale,Davis Emerson,Holt,128000,0,1593,2009,0,2,2,0,0,,0,0,0,0,0,1,1,1593,1,3,8/11/2016,2016,8,5,3
11,279667626,1040010,103237,North of River,(01) North of the River City,The Townes Of North River,Rock Quarry,Northridge,Northridge,347000,0,2190,2011,0,2,2,0,0,,0,0,0,0,0,1,1,2190,1,3,9/11/2015,2015,9,9,6
12,279672954,1053262,98816,Northport City,(08) North Tuscaloosa County,Forest Glen Gardens,Huntington,Echols,Tuscaloosa County,264900,0,2300,2014,0,3,3,0,0,,0,1,0,1,2,1,0,2300,1,4,9/30/2014,2014,9,6,5
14,279901089,1847689,109302,Northport City,(06) Northport City,Windsong,Matthews,Collins Riverside,Tuscaloosa County,76000,0,788,1987,0,1,1,0,0,,0,0,0,0,0,1,0,788,1,2,1/3/2017,2017,1,2,3
15,282859086,1033655,109086,Northport City,(06) Northport City,Rosewood,Flatwoods,Collins Riverside,Tuscaloosa County,167753,0.11,1774,2016,0,2,2,0,0,,0,1,1,0,0,0,0,1774,1,4,12/9/2016,2016,12,4,3
16,282861706,1053202,98734,University,(02) Central Tuscaloosa City,Cedar Crest,University Place,University Place,Central,172000,0.2,1810,1961,0,2,2,0,0,,0,0,0,0,0,1,0,1810,1,3,9/30/2014,2014,9,3,0
31,282997466,1028528,103819,Northport City,(06) Northport City,Pebble Creek,Vestavia,Echols,Tuscaloosa County,93000,0,1422,1993,0,2,2,0,0,,0,0,0,0,0,0,0,1422,1,2,10/30/2015,2015,10,7,5
